schema_version,customer_id,driver_id,persona_type,selected_policy_id,months_evaluated,annual_total_distance_km,annual_trip_count,annual_in_zone_distance_km,annual_out_zone_distance_km,annual_in_zone_distance_ratio,annual_out_zone_distance_ratio,annual_living_zone_stability_score,annual_mileage_score,annual_in_zone_safe_driving_score,annual_out_zone_safe_driving_score,annual_out_zone_pattern_change_risk,annual_senior_safe_mileage_score,annual_score_tier,annual_decision_signal,preventive_care_detected,care_threshold,tier_threshold_json,weights_json,risk_aggregation_method,weighted_annual_risk_avg,trailing_quarter_risk_avg,monthly_p90_risk,high_risk_month_count,candidate_living_zone_month_count,out_zone_safe_month_count,out_zone_pattern_change_risk_month_count,existing_living_zone_trip_count,candidate_living_zone_trip_count,out_zone_safe_driving_trip_count,out_zone_pattern_change_risk_trip_count,dominant_annual_interpretation,annual_reason_codes,monthly_scores_are_evidence_not_discount_rates
senior-annual-score-table/v1,cust_011,driver_011,recent_outer_risk_change,policy_30_30_20_20_p20_a75,12,3900.0,162,2881.87,1018.13,0.7389,0.2611,73.89,67.5,79.28,75.61,71.85,64.79,B,예방 케어,1,70.0,"{""A"":75.0,""B"":55.0,""C"":0.0,""S"":85.0}","{""w_in_zone"":0.3,""w_mileage"":0.3,""w_out_zone_change"":0.2,""w_out_zone_safe"":0.2}","max(weighted_annual_avg, trailing_quarter_avg, monthly_p90)",25.65,27.81,44.78,1,0,7,9,119,0,20,23,existing_living_zone,PREVENTIVE_CARE_REVIEW|OUT_ZONE_PATTERN_CHANGE_RISK|RISK_EVENT_INCREASE|OUT_ZONE_RATIO_INCREASE|NIGHT_DRIVING_INCREASE|LOW_MILEAGE,1
senior-annual-score-table/v1,cust_012,driver_012,recent_outer_risk_change,policy_30_30_20_20_p20_a75,12,4300.0,177,3118.22,1181.78,0.7252,0.2748,72.52,64.17,79.57,75.74,79.09,62.45,B,예방 케어,1,70.0,"{""A"":75.0,""B"":55.0,""C"":0.0,""S"":85.0}","{""w_in_zone"":0.3,""w_mileage"":0.3,""w_out_zone_change"":0.2,""w_out_zone_safe"":0.2}","max(weighted_annual_avg, trailing_quarter_avg, monthly_p90)",27.3,33.83,58.98,1,1,9,7,127,4,21,25,existing_living_zone,PREVENTIVE_CARE_REVIEW|OUT_ZONE_PATTERN_CHANGE_RISK|RISK_EVENT_INCREASE|OUT_ZONE_RATIO_INCREASE|NIGHT_DRIVING_INCREASE|LOW_MILEAGE,1
senior-annual-score-table/v1,cust_013,driver_013,recent_outer_risk_change,policy_30_30_20_20_p20_a75,12,3600.0,150,2536.27,1063.73,0.7045,0.2955,70.45,70.0,77.03,81.6,72.94,65.84,B,예방 케어,1,70.0,"{""A"":75.0,""B"":55.0,""C"":0.0,""S"":85.0}","{""w_in_zone"":0.3,""w_mileage"":0.3,""w_out_zone_change"":0.2,""w_out_zone_safe"":0.2}","max(weighted_annual_avg, trailing_quarter_avg, monthly_p90)",29.34,36.36,46.9,1,1,9,8,105,2,23,20,existing_living_zone,PREVENTIVE_CARE_REVIEW|OUT_ZONE_PATTERN_CHANGE_RISK|RISK_EVENT_INCREASE|OUT_ZONE_RATIO_INCREASE|NIGHT_DRIVING_INCREASE|LOW_MILEAGE,1
senior-annual-score-table/v1,cust_014,driver_014,recent_outer_risk_change,policy_30_30_20_20_p20_a75,12,4700.0,195,3479.95,1220.05,0.7404,0.2596,74.04,60.83,77.26,80.63,70.67,63.42,B,예방 케어,1,70.0,"{""A"":75.0,""B"":55.0,""C"":0.0,""S"":85.0}","{""w_in_zone"":0.3,""w_mileage"":0.3,""w_out_zone_change"":0.2,""w_out_zone_safe"":0.2}","max(weighted_annual_avg, trailing_quarter_avg, monthly_p90)",23.98,26.69,42.46,1,2,10,8,145,4,24,22,existing_living_zone,PREVENTIVE_CARE_REVIEW|OUT_ZONE_PATTERN_CHANGE_RISK|RISK_EVENT_INCREASE|OUT_ZONE_RATIO_INCREASE|NIGHT_DRIVING_INCREASE|CANDIDATE_LIVING_ZONE|LOW_MILEAGE,1
senior-annual-score-table/v1,cust_015,driver_015,recent_outer_risk_change,policy_30_30_20_20_p20_a75,12,5100.0,212,3804.2,1295.8,0.7459,0.2541,74.59,57.5,78.3,77.82,76.58,60.99,B,예방 케어,1,70.0,"{""A"":75.0,""B"":55.0,""C"":0.0,""S"":85.0}","{""w_in_zone"":0.3,""w_mileage"":0.3,""w_out_zone_change"":0.2,""w_out_zone_safe"":0.2}","max(weighted_annual_avg, trailing_quarter_avg, monthly_p90)",23.89,34.44,54.05,1,0,9,9,158,0,24,30,existing_living_zone,PREVENTIVE_CARE_REVIEW|OUT_ZONE_PATTERN_CHANGE_RISK|RISK_EVENT_INCREASE|OUT_ZONE_RATIO_INCREASE|LOW_MILEAGE,1
senior-annual-score-table/v1,cust_016,driver_016,in_zone_risky_low_mileage,policy_30_30_20_20_p20_a75,12,3300.0,166,2181.31,1118.69,0.661,0.339,66.1,72.5,66.77,67.28,75.06,60.23,B,예방 케어,1,70.0,"{""A"":75.0,""B"":55.0,""C"":0.0,""S"":85.0}","{""w_in_zone"":0.3,""w_mileage"":0.3,""w_out_zone_change"":0.2,""w_out_zone_safe"":0.2}","max(weighted_annual_avg, trailing_quarter_avg, monthly_p90)",30.55,25.97,51.07,0,0,10,11,111,0,20,35,existing_living_zone,PREVENTIVE_CARE_REVIEW|OUT_ZONE_PATTERN_CHANGE_RISK|RISK_EVENT_INCREASE|OUT_ZONE_RATIO_INCREASE|LOW_MILEAGE,1
senior-annual-score-table/v1,cust_017,driver_017,in_zone_risky_low_mileage,policy_30_30_20_20_p20_a75,12,4200.0,203,3553.8,646.2,0.8461,0.1539,84.61,65.0,66.47,72.78,25.93,68.81,B,기본,0,70.0,"{""A"":75.0,""B"":55.0,""C"":0.0,""S"":85.0}","{""w_in_zone"":0.3,""w_mileage"":0.3,""w_out_zone_change"":0.2,""w_out_zone_safe"":0.2}","max(weighted_annual_avg, trailing_quarter_avg, monthly_p90)",19.14,21.78,25.93,0,0,9,9,170,0,10,23,existing_living_zone,RISK_EVENT_INCREASE|OUT_ZONE_SAFE_DRIVING|LOW_MILEAGE|NO_STRONG_RISK_CHANGE,1
senior-annual-score-table/v1,cust_018,driver_018,in_zone_risky_low_mileage,policy_30_30_20_20_p20_a75,12,4500.0,227,3561.54,938.46,0.7915,0.2085,79.15,62.5,66.16,72.16,24.64,68.1,B,기본,0,70.0,"{""A"":75.0,""B"":55.0,""C"":0.0,""S"":85.0}","{""w_in_zone"":0.3,""w_mileage"":0.3,""w_out_zone_change"":0.2,""w_out_zone_safe"":0.2}","max(weighted_annual_avg, trailing_quarter_avg, monthly_p90)",20.64,15.37,24.64,0,0,9,10,181,0,14,32,existing_living_zone,RISK_EVENT_INCREASE|OUT_ZONE_RATIO_INCREASE|OUT_ZONE_SAFE_DRIVING|LOW_MILEAGE|NO_STRONG_RISK_CHANGE,1
senior-annual-score-table/v1,cust_019,driver_019,in_zone_risky_low_mileage,policy_30_30_20_20_p20_a75,12,3900.0,194,3029.93,870.07,0.7769,0.2231,77.69,67.5,66.03,71.15,25.75,69.14,B,기본,0,70.0,"{""A"":75.0,""B"":55.0,""C"":0.0,""S"":85.0}","{""w_in_zone"":0.3,""w_mileage"":0.3,""w_out_zone_change"":0.2,""w_out_zone_safe"":0.2}","max(weighted_annual_avg, trailing_quarter_avg, monthly_p90)",19.09,16.52,25.75,0,0,8,12,152,0,13,29,existing_living_zone,RISK_EVENT_INCREASE|OUT_ZONE_SAFE_DRIVING|LOW_MILEAGE|NO_STRONG_RISK_CHANGE,1
senior-annual-score-table/v1,cust_020,driver_020,in_zone_risky_low_mileage,policy_30_30_20_20_p20_a75,12,3000.0,152,2516.5,483.5,0.8388,0.1612,83.88,75.0,66.73,67.48,35.73,68.87,B,기본,0,70.0,"{""A"":75.0,""B"":55.0,""C"":0.0,""S"":85.0}","{""w_in_zone"":0.3,""w_mileage"":0.3,""w_out_zone_change"":0.2,""w_out_zone_safe"":0.2}","max(weighted_annual_avg, trailing_quarter_avg, monthly_p90)",20.58,16.8,35.73,0,1,5,11,127,1,7,17,existing_living_zone,RISK_EVENT_INCREASE|OUT_ZONE_RATIO_INCREASE|OUT_ZONE_SAFE_DRIVING|LOW_MILEAGE,1
senior-annual-score-table/v1,cust_021,driver_021,medical_visit_pattern,policy_30_30_20_20_p20_a75,12,6200.0,215,4809.86,1390.14,0.7758,0.2242,77.58,48.33,92.26,92.17,19.24,76.76,A,우대,0,70.0,"{""A"":75.0,""B"":55.0,""C"":0.0,""S"":85.0}","{""w_in_zone"":0.3,""w_mileage"":0.3,""w_out_zone_change"":0.2,""w_out_zone_safe"":0.2}","max(weighted_annual_avg, trailing_quarter_avg, monthly_p90)",9.12,7.31,19.24,0,0,12,10,168,0,30,17,existing_living_zone,OUT_ZONE_RATIO_INCREASE|OUT_ZONE_SAFE_DRIVING|LOW_MILEAGE|NO_STRONG_RISK_CHANGE,1
senior-annual-score-table/v1,cust_022,driver_022,medical_visit_pattern,policy_30_30_20_20_p20_a75,12,5700.0,191,4307.18,1392.82,0.7556,0.2444,75.56,52.5,92.46,92.83,24.98,77.06,A,우대,0,70.0,"{""A"":75.0,""B"":55.0,""C"":0.0,""S"":85.0}","{""w_in_zone"":0.3,""w_mileage"":0.3,""w_out_zone_change"":0.2,""w_out_zone_safe"":0.2}","max(weighted_annual_avg, trailing_quarter_avg, monthly_p90)",11.95,8.08,24.98,0,1,12,8,144,1,31,15,existing_living_zone,OUT_ZONE_RATIO_INCREASE|OUT_ZONE_SAFE_DRIVING|LOW_MILEAGE|NO_STRONG_RISK_CHANGE,1
senior-annual-score-table/v1,cust_023,driver_023,medical_visit_pattern,policy_30_30_20_20_p20_a75,12,6900.0,238,5144.1,1755.9,0.7455,0.2545,74.55,42.5,91.91,92.65,23.65,74.12,B,기본,0,70.0,"{""A"":75.0,""B"":55.0,""C"":0.0,""S"":85.0}","{""w_in_zone"":0.3,""w_mileage"":0.3,""w_out_zone_change"":0.2,""w_out_zone_safe"":0.2}","max(weighted_annual_avg, trailing_quarter_avg, monthly_p90)",14.54,15.11,23.65,0,0,12,8,177,0,42,19,existing_living_zone,OUT_ZONE_RATIO_INCREASE|OUT_ZONE_SAFE_DRIVING|LOW_MILEAGE|NO_STRONG_RISK_CHANGE,1
senior-annual-score-table/v1,cust_024,driver_024,medical_visit_pattern,policy_30_30_20_20_p20_a75,12,4800.0,166,3711.39,1088.61,0.7732,0.2268,77.32,60.0,92.31,93.32,32.42,77.87,A,우대,0,70.0,"{""A"":75.0,""B"":55.0,""C"":0.0,""S"":85.0}","{""w_in_zone"":0.3,""w_mileage"":0.3,""w_out_zone_change"":0.2,""w_out_zone_safe"":0.2}","max(weighted_annual_avg, trailing_quarter_avg, monthly_p90)",13.2,17.47,32.42,0,0,11,7,128,0,28,10,existing_living_zone,OUT_ZONE_RATIO_INCREASE|OUT_ZONE_SAFE_DRIVING|LOW_MILEAGE|NO_STRONG_RISK_CHANGE,1
senior-annual-score-table/v1,cust_025,driver_025,medical_visit_pattern,policy_30_30_20_20_p20_a75,12,6500.0,227,4825.55,1674.45,0.7424,0.2576,74.24,45.83,92.08,92.3,21.56,75.52,A,우대,0,70.0,"{""A"":75.0,""B"":55.0,""C"":0.0,""S"":85.0}","{""w_in_zone"":0.3,""w_mileage"":0.3,""w_out_zone_change"":0.2,""w_out_zone_safe"":0.2}","max(weighted_annual_avg, trailing_quarter_avg, monthly_p90)",11.87,14.53,21.56,0,2,12,9,170,2,39,16,existing_living_zone,OUT_ZONE_RATIO_INCREASE|CANDIDATE_LIVING_ZONE|OUT_ZONE_SAFE_DRIVING|LOW_MILEAGE|NO_STRONG_RISK_CHANGE,1
senior-annual-score-table/v1,cust_026,driver_026,irregular_family_support,policy_30_30_20_20_p20_a75,12,6200.0,176,4048.22,2151.78,0.6529,0.3471,65.29,48.33,88.18,84.75,38.36,70.23,B,기본,0,70.0,"{""A"":75.0,""B"":55.0,""C"":0.0,""S"":85.0}","{""w_in_zone"":0.3,""w_mileage"":0.3,""w_out_zone_change"":0.2,""w_out_zone_safe"":0.2}","max(weighted_annual_avg, trailing_quarter_avg, monthly_p90)",22.48,23.98,38.36,0,1,11,12,114,1,19,42,existing_living_zone,RISK_EVENT_INCREASE|OUT_ZONE_RATIO_INCREASE|OUT_ZONE_SAFE_DRIVING|LOW_MILEAGE,1
senior-annual-score-table/v1,cust_027,driver_027,irregular_family_support,policy_30_30_20_20_p20_a75,12,5400.0,154,3788.3,1611.7,0.7015,0.2985,70.15,55.0,88.33,84.39,35.45,72.79,B,기본,0,70.0,"{""A"":75.0,""B"":55.0,""C"":0.0,""S"":85.0}","{""w_in_zone"":0.3,""w_mileage"":0.3,""w_out_zone_change"":0.2,""w_out_zone_safe"":0.2}","max(weighted_annual_avg, trailing_quarter_avg, monthly_p90)",25.39,25.94,35.45,0,0,9,11,107,0,14,33,existing_living_zone,RISK_EVENT_INCREASE|OUT_ZONE_RATIO_INCREASE|OUT_ZONE_SAFE_DRIVING|LOW_MILEAGE,1
senior-annual-score-table/v1,cust_028,driver_028,irregular_family_support,policy_30_30_20_20_p20_a75,12,7800.0,220,5566.06,2233.94,0.7136,0.2864,71.36,35.0,87.99,85.79,34.75,67.11,B,기본,0,70.0,"{""A"":75.0,""B"":55.0,""C"":0.0,""S"":85.0}","{""w_in_zone"":0.3,""w_mileage"":0.3,""w_out_zone_change"":0.2,""w_out_zone_safe"":0.2}","max(weighted_annual_avg, trailing_quarter_avg, monthly_p90)",20.22,17.48,34.75,0,2,11,11,158,3,25,34,existing_living_zone,RISK_EVENT_INCREASE|OUT_ZONE_RATIO_INCREASE|CANDIDATE_LIVING_ZONE|OUT_ZONE_SAFE_DRIVING|LOW_MILEAGE|NO_STRONG_RISK_CHANGE,1
senior-annual-score-table/v1,cust_029,driver_029,irregular_family_support,policy_30_30_20_20_p20_a75,12,7000.0,198,5406.35,1593.65,0.7723,0.2277,77.23,41.67,87.04,88.54,33.94,69.53,B,기본,0,70.0,"{""A"":75.0,""B"":55.0,""C"":0.0,""S"":85.0}","{""w_in_zone"":0.3,""w_mileage"":0.3,""w_out_zone_change"":0.2,""w_out_zone_safe"":0.2}","max(weighted_annual_avg, trailing_quarter_avg, monthly_p90)",21.52,22.31,33.94,0,1,8,10,154,1,14,29,existing_living_zone,RISK_EVENT_INCREASE|OUT_ZONE_RATIO_INCREASE|OUT_ZONE_SAFE_DRIVING|LOW_MILEAGE|NO_STRONG_RISK_CHANGE,1
senior-annual-score-table/v1,cust_030,driver_030,irregular_family_support,policy_30_30_20_20_p20_a75,12,8100.0,228,6020.04,2079.96,0.7432,0.2568,74.32,32.5,87.6,86.7,34.12,66.55,B,기본,0,70.0,"{""A"":75.0,""B"":55.0,""C"":0.0,""S"":85.0}","{""w_in_zone"":0.3,""w_mileage"":0.3,""w_out_zone_change"":0.2,""w_out_zone_safe"":0.2}","max(weighted_annual_avg, trailing_quarter_avg, monthly_p90)",22.95,16.97,34.12,0,1,11,10,169,1,23,35,existing_living_zone,RISK_EVENT_INCREASE|OUT_ZONE_RATIO_INCREASE|OUT_ZONE_SAFE_DRIVING|LOW_MILEAGE|NO_STRONG_RISK_CHANGE,1
