schema_version,customer_id,driver_id,persona_type,service_month,month,selected_policy_id,basis_status,basis_trip_count,scored_trip_count,dbscan_cluster_count,living_zone_departure_p90_raw_m,living_zone_departure_p90_threshold_m,living_zone_departure_threshold_sample_count,living_zone_departure_threshold_percentile,monthly_total_distance_km,monthly_annualized_distance_km,in_zone_distance_km,out_zone_distance_km,in_zone_distance_ratio,out_zone_distance_ratio,out_zone_ratio_delta,baseline_night_ratio,monthly_night_ratio,night_ratio_delta,baseline_risk_rate_per_100km,monthly_risk_rate_per_100km,risk_rate_delta_per_100km,monthly_risk_signal_count,in_zone_night_ratio,in_zone_risk_rate_per_100km,out_zone_night_ratio,out_zone_risk_rate_per_100km,mileage_score,in_zone_safe_driving_score,out_zone_safe_driving_score,out_zone_pattern_change_risk,monthly_integrated_evidence_score,score_role,existing_living_zone_trip_count,candidate_living_zone_trip_count,out_zone_safe_driving_trip_count,out_zone_pattern_change_risk_trip_count,dominant_interpretation,reason_codes,scenario_phase
senior-monthly-score-table/v1,cust_002,driver_002,stable_local_low_mileage,2026-01,1,policy_30_30_20_20_p20_a75,pre_policy_60_day_dbscan,23,10,1,1467.74,1467.74,23,0.9,218.4,2620.8,218.4,0,1.0,0.0,-0.2086,0.0,0.0,0.0,0.8691,0.9158,0.0467,2,0.0,0.9158,0.0,0.0,78.16,94.51,100.0,3.23,91.16,annual_decision_evidence_not_monthly_discount,10,0,0,0,existing_living_zone,LOW_RISK_EVENTS|NO_STRONG_RISK_CHANGE|STABLE_IN_ZONE_DRIVING,stable_reference
senior-monthly-score-table/v1,cust_002,driver_002,stable_local_low_mileage,2026-02,2,policy_30_30_20_20_p20_a75,rolling_60_day_dbscan,21,9,1,1017.33,1017.33,21,0.9,204.4,2452.8,105.78,98.62,0.5175,0.4825,0.2104,0.0,0.0,0.0,0.914,0.4892,-0.4248,1,0.0,0.0,0.0,1.014,79.56,100.0,91.77,26.21,86.98,annual_decision_evidence_not_monthly_discount,5,1,2,1,existing_living_zone,CANDIDATE_LIVING_ZONE|LOW_RISK_EVENTS|OUT_ZONE_PATTERN_CHANGE_RISK|OUT_ZONE_RATIO_INCREASE|OUT_ZONE_SAFE_DRIVING|STABLE_IN_ZONE_DRIVING,stable_reference
senior-monthly-score-table/v1,cust_002,driver_002,stable_local_low_mileage,2026-03,3,policy_30_30_20_20_p20_a75,rolling_60_day_dbscan,19,11,1,926.99,926.99,19,0.9,229.6,2755.2,206.58,23.02,0.8997,0.1003,-0.0682,0.0,0.0,0.0,0.7096,0.8711,0.1615,2,0.0,0.9681,0.0,0.0,77.04,94.19,100.0,3.53,90.66,annual_decision_evidence_not_monthly_discount,10,0,1,0,existing_living_zone,LOW_RISK_EVENTS|NO_STRONG_RISK_CHANGE|OUT_ZONE_SAFE_DRIVING|STABLE_IN_ZONE_DRIVING,stable_reference
senior-monthly-score-table/v1,cust_002,driver_002,stable_local_low_mileage,2026-04,4,policy_30_30_20_20_p20_a75,rolling_60_day_dbscan,20,12,1,1033.34,1033.34,20,0.9,232.4,2788.8,170.16,62.24,0.7322,0.2678,0.1142,0.0,0.0,0.0,0.6912,0.8606,0.1693,2,0.0,1.1754,0.0,0.0,76.76,92.95,100.0,16.67,87.58,annual_decision_evidence_not_monthly_discount,9,0,3,0,existing_living_zone,LOW_RISK_EVENTS|NO_STRONG_RISK_CHANGE|OUT_ZONE_SAFE_DRIVING|STABLE_IN_ZONE_DRIVING,stable_reference
senior-monthly-score-table/v1,cust_002,driver_002,stable_local_low_mileage,2026-05,5,policy_30_30_20_20_p20_a75,rolling_60_day_dbscan,22,12,1,943.69,943.69,22,0.9,243.6,2923.2,169.16,74.44,0.6944,0.3056,0.0667,0.0,0.0,0.0,0.9112,0.821,-0.0902,2,0.0,1.1823,0.0,0.0,75.64,92.91,100.0,10.28,88.51,annual_decision_evidence_not_monthly_discount,8,0,4,0,existing_living_zone,LOW_RISK_EVENTS|NO_STRONG_RISK_CHANGE|OUT_ZONE_SAFE_DRIVING|STABLE_IN_ZONE_DRIVING,stable_reference
senior-monthly-score-table/v1,cust_002,driver_002,stable_local_low_mileage,2026-06,6,policy_30_30_20_20_p20_a75,rolling_60_day_dbscan,23,11,1,1604.61,1604.61,23,0.9,229.6,2755.2,170.4,59.2,0.7422,0.2578,0.0945,0.0,0.0,0.0,0.8782,0.8711,-0.0071,2,0.0,1.1737,0.0,0.0,77.04,92.96,100.0,13.75,88.25,annual_decision_evidence_not_monthly_discount,8,0,3,0,existing_living_zone,LOW_RISK_EVENTS|NO_STRONG_RISK_CHANGE|OUT_ZONE_SAFE_DRIVING|STABLE_IN_ZONE_DRIVING,stable_reference
senior-monthly-score-table/v1,cust_002,driver_002,stable_local_low_mileage,2026-07,7,policy_30_30_20_20_p20_a75,rolling_60_day_dbscan,23,11,1,1459.87,1459.87,23,0.9,235.2,2822.4,190.85,44.35,0.8114,0.1886,-0.0507,0.0,0.0,0.0,0.8453,0.8503,0.005,2,0.0,1.0479,0.0,0.0,76.48,93.71,100.0,2.75,90.51,annual_decision_evidence_not_monthly_discount,9,0,2,0,existing_living_zone,LOW_RISK_EVENTS|NO_STRONG_RISK_CHANGE|OUT_ZONE_SAFE_DRIVING|STABLE_IN_ZONE_DRIVING,stable_reference
senior-monthly-score-table/v1,cust_002,driver_002,stable_local_low_mileage,2026-08,8,policy_30_30_20_20_p20_a75,rolling_60_day_dbscan,21,12,1,880.42,880.42,21,0.9,246.4,2956.8,146.09,100.31,0.5929,0.4071,0.1122,0.0,0.0,0.0,0.9071,0.8117,-0.0954,2,0.0,0.6845,0.0,0.9969,75.36,95.89,93.38,15.59,86.93,annual_decision_evidence_not_monthly_discount,7,0,4,1,existing_living_zone,LOW_RISK_EVENTS|OUT_ZONE_PATTERN_CHANGE_RISK|OUT_ZONE_SAFE_DRIVING|STABLE_IN_ZONE_DRIVING,stable_reference
senior-monthly-score-table/v1,cust_002,driver_002,stable_local_low_mileage,2026-09,9,policy_30_30_20_20_p20_a75,rolling_60_day_dbscan,22,11,2,658.93,658.93,22,0.9,240.8,2889.6,240.8,0,1.0,0.0,-0.2474,0.0,0.0,0.0,0.6556,0.8306,0.1749,2,0.0,0.8306,0.0,0.0,75.92,95.02,100.0,3.6,90.56,annual_decision_evidence_not_monthly_discount,11,0,0,0,existing_living_zone,LOW_RISK_EVENTS|NO_STRONG_RISK_CHANGE|STABLE_IN_ZONE_DRIVING,stable_reference
senior-monthly-score-table/v1,cust_002,driver_002,stable_local_low_mileage,2026-10,10,policy_30_30_20_20_p20_a75,rolling_60_day_dbscan,23,11,2,721.79,721.79,23,0.9,243.6,2923.2,154.91,88.69,0.6359,0.3641,0.1791,0.0,0.0,0.0,0.821,0.821,0.0,2,0.0,0.6455,0.0,1.1275,75.64,96.13,93.52,23.62,85.51,annual_decision_evidence_not_monthly_discount,7,2,1,1,existing_living_zone,CANDIDATE_LIVING_ZONE|LOW_RISK_EVENTS|OUT_ZONE_PATTERN_CHANGE_RISK|OUT_ZONE_RATIO_INCREASE|OUT_ZONE_SAFE_DRIVING|STABLE_IN_ZONE_DRIVING,stable_reference
senior-monthly-score-table/v1,cust_002,driver_002,stable_local_low_mileage,2026-11,11,policy_30_30_20_20_p20_a75,rolling_60_day_dbscan,22,11,1,1532.22,1532.22,22,0.9,232.4,2788.8,182.59,49.81,0.7857,0.2143,0.0205,0.0,0.0,0.0,0.8258,0.8606,0.0348,2,0.0,1.0954,0.0,0.0,76.76,93.43,100.0,5.29,90.0,annual_decision_evidence_not_monthly_discount,9,0,2,0,existing_living_zone,LOW_RISK_EVENTS|NO_STRONG_RISK_CHANGE|OUT_ZONE_SAFE_DRIVING|STABLE_IN_ZONE_DRIVING,stable_reference
senior-monthly-score-table/v1,cust_002,driver_002,stable_local_low_mileage,2026-12,12,policy_30_30_20_20_p20_a75,rolling_60_day_dbscan,21,13,1,1004.68,1004.68,21,0.9,243.6,2923.2,202.21,41.39,0.8301,0.1699,0.0116,0.0,0.0,0.0,0.6574,0.821,0.1636,2,0.0,0.9891,0.0,0.0,75.64,94.07,100.0,4.48,90.02,annual_decision_evidence_not_monthly_discount,11,0,2,0,existing_living_zone,LOW_RISK_EVENTS|NO_STRONG_RISK_CHANGE|OUT_ZONE_SAFE_DRIVING|STABLE_IN_ZONE_DRIVING,stable_reference
senior-monthly-score-table/v1,cust_003,driver_003,stable_local_low_mileage,2026-01,1,policy_30_30_20_20_p20_a75,pre_policy_60_day_dbscan,32,14,1,1422.46,1422.46,32,0.9,319.8,3837.6,281.38,38.42,0.8799,0.1201,-0.1044,0.0,0.0,0.0,0.5935,0.6254,0.0319,2,0.0,0.0,0.0,5.2056,68.02,100.0,71.37,2.3,84.22,annual_decision_evidence_not_monthly_discount,12,0,0,2,existing_living_zone,LOW_RISK_EVENTS|OUT_ZONE_PATTERN_CHANGE_RISK|STABLE_IN_ZONE_DRIVING,stable_reference
senior-monthly-score-table/v1,cust_003,driver_003,stable_local_low_mileage,2026-02,2,policy_30_30_20_20_p20_a75,rolling_60_day_dbscan,28,15,2,637.42,637.42,28,0.9,299.3,3591.6,278.24,21.06,0.9296,0.0704,-0.0756,0.0,0.0,0.0,0.6447,0.6682,0.0235,2,0.0,0.7188,0.0,0.0,70.07,95.69,100.0,2.12,89.3,annual_decision_evidence_not_monthly_discount,14,0,1,0,existing_living_zone,LOW_RISK_EVENTS|NO_STRONG_RISK_CHANGE|OUT_ZONE_SAFE_DRIVING|STABLE_IN_ZONE_DRIVING,stable_reference
senior-monthly-score-table/v1,cust_003,driver_003,stable_local_low_mileage,2026-03,3,policy_30_30_20_20_p20_a75,rolling_60_day_dbscan,29,15,2,661.17,661.17,29,0.9,336.2,4034.4,246.12,90.08,0.7321,0.2679,-0.0168,0.0,0.0,0.0,0.6461,0.5949,-0.0512,2,0.0,0.4063,0.0,1.1101,66.38,97.56,93.89,2.0,87.56,annual_decision_evidence_not_monthly_discount,11,0,3,1,existing_living_zone,LOW_RISK_EVENTS|OUT_ZONE_PATTERN_CHANGE_RISK|OUT_ZONE_SAFE_DRIVING|STABLE_IN_ZONE_DRIVING,stable_reference
senior-monthly-score-table/v1,cust_003,driver_003,stable_local_low_mileage,2026-04,4,policy_30_30_20_20_p20_a75,rolling_60_day_dbscan,30,15,2,706.15,706.15,30,0.9,340.3,4083.6,210.44,129.86,0.6184,0.3816,0.1757,0.0,0.0,0.0,0.6294,0.5877,-0.0417,2,0.0,0.9504,0.0,0.0,65.97,94.3,99.37,22.5,83.46,annual_decision_evidence_not_monthly_discount,9,0,6,0,existing_living_zone,LOW_RISK_EVENTS|OUT_ZONE_RATIO_INCREASE|OUT_ZONE_SAFE_DRIVING|STABLE_IN_ZONE_DRIVING,stable_reference
senior-monthly-score-table/v1,cust_003,driver_003,stable_local_low_mileage,2026-05,5,policy_30_30_20_20_p20_a75,rolling_60_day_dbscan,29,17,2,666.97,666.97,29,0.9,356.7,4280.4,319.92,36.78,0.8969,0.1031,-0.0978,0.0,0.0,0.0,0.6129,0.5607,-0.0522,2,0.0,0.6252,0.0,0.0,64.33,96.25,100.0,1.76,87.82,annual_decision_evidence_not_monthly_discount,15,0,2,0,existing_living_zone,LOW_RISK_EVENTS|NO_STRONG_RISK_CHANGE|OUT_ZONE_SAFE_DRIVING|STABLE_IN_ZONE_DRIVING,stable_reference
senior-monthly-score-table/v1,cust_003,driver_003,stable_local_low_mileage,2026-06,6,policy_30_30_20_20_p20_a75,rolling_60_day_dbscan,31,16,2,694.34,694.34,31,0.9,336.2,4034.4,229.24,106.96,0.6819,0.3181,0.0607,0.0,0.0,0.0,0.5883,0.5949,0.0065,2,0.0,0.0,0.0,1.8699,66.38,100.0,89.72,8.99,86.06,annual_decision_evidence_not_monthly_discount,11,0,3,2,existing_living_zone,LOW_RISK_EVENTS|OUT_ZONE_PATTERN_CHANGE_RISK|OUT_ZONE_SAFE_DRIVING|STABLE_IN_ZONE_DRIVING,stable_reference
senior-monthly-score-table/v1,cust_003,driver_003,stable_local_low_mileage,2026-07,7,policy_30_30_20_20_p20_a75,rolling_60_day_dbscan,32,16,2,670.68,670.68,32,0.9,344.4,4132.8,283.5,60.9,0.8232,0.1768,-0.1009,0.0,0.0,0.0,0.4438,0.5807,0.1369,2,0.0,0.3527,0.0,1.642,65.56,97.88,90.97,2.56,86.71,annual_decision_evidence_not_monthly_discount,13,0,2,1,existing_living_zone,LOW_RISK_EVENTS|OUT_ZONE_PATTERN_CHANGE_RISK|OUT_ZONE_SAFE_DRIVING|STABLE_IN_ZONE_DRIVING,stable_reference
senior-monthly-score-table/v1,cust_003,driver_003,stable_local_low_mileage,2026-08,8,policy_30_30_20_20_p20_a75,rolling_60_day_dbscan,32,17,1,732.48,732.48,32,0.9,360.8,4329.6,149.17,211.63,0.4134,0.5866,0.1515,0.0,0.0,0.0,0.5877,0.8315,0.2438,3,0.0,0.6704,0.0,0.945,63.92,94.94,90.07,21.54,81.36,annual_decision_evidence_not_monthly_discount,7,0,8,2,out_zone_safe_driving,LOW_RISK_EVENTS|OUT_ZONE_PATTERN_CHANGE_RISK|OUT_ZONE_RATIO_INCREASE|OUT_ZONE_SAFE_DRIVING|STABLE_IN_ZONE_DRIVING,stable_reference
senior-monthly-score-table/v1,cust_003,driver_003,stable_local_low_mileage,2026-09,9,policy_30_30_20_20_p20_a75,rolling_60_day_dbscan,32,18,1,836.75,836.75,32,0.9,352.6,4231.2,257.23,95.37,0.7295,0.2705,-0.0238,0.0,0.0,0.0,0.7346,0.5672,-0.1674,2,0.0,0.3888,0.0,1.0485,64.74,97.67,94.23,1.67,87.23,annual_decision_evidence_not_monthly_discount,13,0,4,1,existing_living_zone,LOW_RISK_EVENTS|OUT_ZONE_PATTERN_CHANGE_RISK|OUT_ZONE_SAFE_DRIVING|STABLE_IN_ZONE_DRIVING,stable_reference
senior-monthly-score-table/v1,cust_003,driver_003,stable_local_low_mileage,2026-10,10,policy_30_30_20_20_p20_a75,rolling_60_day_dbscan,33,17,1,839.55,839.55,33,0.9,356.7,4280.4,256.9,99.8,0.7202,0.2798,0.0357,0.0,0.0,0.0,0.7418,0.5607,-0.1811,2,0.0,0.7785,0.0,0.0,64.33,95.33,100.0,5.93,86.71,annual_decision_evidence_not_monthly_discount,12,1,4,0,existing_living_zone,CANDIDATE_LIVING_ZONE|LOW_RISK_EVENTS|NO_STRONG_RISK_CHANGE|OUT_ZONE_SAFE_DRIVING|STABLE_IN_ZONE_DRIVING,stable_reference
senior-monthly-score-table/v1,cust_003,driver_003,stable_local_low_mileage,2026-11,11,policy_30_30_20_20_p20_a75,rolling_60_day_dbscan,34,16,1,1277.91,1277.91,34,0.9,340.3,4083.6,238.52,101.78,0.7009,0.2991,0.08,0.0,0.0,0.0,0.5834,0.5877,0.0044,2,0.0,0.8385,0.0,0.0,65.97,94.97,100.0,11.23,86.04,annual_decision_evidence_not_monthly_discount,11,0,5,0,existing_living_zone,LOW_RISK_EVENTS|NO_STRONG_RISK_CHANGE|OUT_ZONE_SAFE_DRIVING|STABLE_IN_ZONE_DRIVING,stable_reference
senior-monthly-score-table/v1,cust_003,driver_003,stable_local_low_mileage,2026-12,12,policy_30_30_20_20_p20_a75,rolling_60_day_dbscan,32,18,2,662.79,662.79,32,0.9,356.7,4280.4,295.48,61.22,0.8284,0.1716,-0.097,0.0,0.0,0.0,0.594,0.5607,-0.0333,2,0.0,0.6769,0.0,0.0,64.33,95.94,100.0,1.67,87.75,annual_decision_evidence_not_monthly_discount,15,0,3,0,existing_living_zone,LOW_RISK_EVENTS|NO_STRONG_RISK_CHANGE|OUT_ZONE_SAFE_DRIVING|STABLE_IN_ZONE_DRIVING,stable_reference
senior-monthly-score-table/v1,cust_004,driver_004,stable_local_low_mileage,2026-01,1,policy_30_30_20_20_p20_a75,pre_policy_60_day_dbscan,22,9,2,759.18,759.18,22,0.9,202.8,2433.6,178.12,24.68,0.8783,0.1217,-0.1267,0.0,0.0,0.0,0.7019,0.4931,-0.2088,1,0.0,0.5614,0.0,0.0,79.72,96.63,100.0,1.67,92.57,annual_decision_evidence_not_monthly_discount,8,0,1,0,existing_living_zone,LOW_RISK_EVENTS|NO_STRONG_RISK_CHANGE|OUT_ZONE_SAFE_DRIVING|STABLE_IN_ZONE_DRIVING,stable_reference
senior-monthly-score-table/v1,cust_004,driver_004,stable_local_low_mileage,2026-02,2,policy_30_30_20_20_p20_a75,rolling_60_day_dbscan,19,10,2,713.34,713.34,19,0.9,189.8,2277.6,107.29,82.51,0.5653,0.4347,0.2046,0.0,0.0,0.0,0.7359,0.5269,-0.2091,1,0.0,0.9321,0.0,0.0,81.02,94.41,98.31,25.37,87.22,annual_decision_evidence_not_monthly_discount,6,0,4,0,existing_living_zone,LOW_RISK_EVENTS|OUT_ZONE_RATIO_INCREASE|OUT_ZONE_SAFE_DRIVING|STABLE_IN_ZONE_DRIVING,stable_reference
senior-monthly-score-table/v1,cust_004,driver_004,stable_local_low_mileage,2026-03,3,policy_30_30_20_20_p20_a75,rolling_60_day_dbscan,19,11,2,704.13,704.13,19,0.9,213.2,2558.4,174.43,38.77,0.8182,0.1818,0.0648,0.0,0.0,0.0,0.5094,0.469,-0.0404,1,0.0,0.5733,0.0,0.0,78.68,96.56,100.0,8.92,90.79,annual_decision_evidence_not_monthly_discount,9,0,2,0,existing_living_zone,LOW_RISK_EVENTS|NO_STRONG_RISK_CHANGE|OUT_ZONE_SAFE_DRIVING|STABLE_IN_ZONE_DRIVING,stable_reference
senior-monthly-score-table/v1,cust_004,driver_004,stable_local_low_mileage,2026-04,4,policy_30_30_20_20_p20_a75,rolling_60_day_dbscan,21,10,2,777.71,777.71,21,0.9,215.8,2589.6,195.77,20.03,0.9072,0.0928,-0.01,0.0,0.0,0.0,0.4963,0.9268,0.4305,2,0.0,1.0216,0.0,0.0,78.42,93.87,100.0,5.15,90.66,annual_decision_evidence_not_monthly_discount,9,0,1,0,existing_living_zone,LOW_RISK_EVENTS|NO_STRONG_RISK_CHANGE|OUT_ZONE_SAFE_DRIVING|STABLE_IN_ZONE_DRIVING,stable_reference
senior-monthly-score-table/v1,cust_004,driver_004,stable_local_low_mileage,2026-05,5,policy_30_30_20_20_p20_a75,rolling_60_day_dbscan,21,12,2,787.71,787.71,21,0.9,226.2,2714.4,123.96,102.24,0.548,0.452,0.3211,0.0,0.0,0.0,0.6993,0.8842,0.1849,2,0.0,1.6134,0.0,0.0,77.38,90.32,97.96,38.42,82.22,annual_decision_evidence_not_monthly_discount,7,0,5,0,existing_living_zone,LOW_RISK_EVENTS|OUT_ZONE_RATIO_INCREASE|OUT_ZONE_SAFE_DRIVING|STABLE_IN_ZONE_DRIVING,stable_reference
