trip_id,visit_event_id,driver_id,designed_type,environment_id,dataset_partition,data_quality,month,period_role,visit_date,visit_label,latitude,longitude,trip_distance_km,risk_event_count,data_coverage_pct,source_status
gaip-001-202610-04,visit-gaip-001-202610-04,gaip-001,stable_reward,dense_urban,development,good,2026-10,evaluation,2026-10-13,Routine Hub A,37.862722,126.525093,6.0,0,95.5,simulated
gaip-001-202610-05,visit-gaip-001-202610-05,gaip-001,stable_reward,dense_urban,development,good,2026-10,evaluation,2026-10-16,Routine Hub A,37.862545,126.525415,7.2,0,96.1,simulated
gaip-001-202611-01,visit-gaip-001-202611-01,gaip-001,stable_reward,dense_urban,development,good,2026-11,evaluation,2026-11-04,Routine Hub B,37.86914,126.532272,11.64,0,96.0,simulated
gaip-001-202611-02,visit-gaip-001-202611-02,gaip-001,stable_reward,dense_urban,development,good,2026-11,evaluation,2026-11-07,Routine Hub B,37.869053,126.53221,9.06,0,96.1,simulated
gaip-001-202611-03,visit-gaip-001-202611-03,gaip-001,stable_reward,dense_urban,development,good,2026-11,evaluation,2026-11-10,Routine Hub A,37.862968,126.525374,6.7,0,95.4,simulated
gaip-001-202611-04,visit-gaip-001-202611-04,gaip-001,stable_reward,dense_urban,development,good,2026-11,evaluation,2026-11-13,Routine Hub A,37.862716,126.525364,5.95,0,99.1,simulated
gaip-001-202611-05,visit-gaip-001-202611-05,gaip-001,stable_reward,dense_urban,development,good,2026-11,evaluation,2026-11-16,Routine Hub B,37.86938,126.53268,8.86,0,97.0,simulated
gaip-001-202612-01,visit-gaip-001-202612-01,gaip-001,stable_reward,dense_urban,development,good,2026-12,evaluation,2026-12-04,Routine Hub A,37.862781,126.525213,6.84,0,97.4,simulated
gaip-001-202612-02,visit-gaip-001-202612-02,gaip-001,stable_reward,dense_urban,development,good,2026-12,evaluation,2026-12-07,Routine Hub B,37.869324,126.532492,10.24,1,98.0,simulated
gaip-001-202612-03,visit-gaip-001-202612-03,gaip-001,stable_reward,dense_urban,development,good,2026-12,evaluation,2026-12-10,Routine Hub A,37.86247,126.525065,5.36,0,98.3,simulated
gaip-001-202612-04,visit-gaip-001-202612-04,gaip-001,stable_reward,dense_urban,development,good,2026-12,evaluation,2026-12-13,Routine Hub B,37.869494,126.53234,9.17,0,95.1,simulated
gaip-001-202612-05,visit-gaip-001-202612-05,gaip-001,stable_reward,dense_urban,development,good,2026-12,evaluation,2026-12-16,Routine Hub A,37.862923,126.525514,7.11,0,98.6,simulated
gaip-002-202511-01,visit-gaip-002-202511-01,gaip-002,stable_reward,suburban_mid_density,development,good,2025-11,baseline,2025-11-04,Routine Hub A,37.701676,126.664835,14.64,0,95.7,simulated
gaip-002-202511-02,visit-gaip-002-202511-02,gaip-002,stable_reward,suburban_mid_density,development,good,2025-11,baseline,2025-11-07,Routine Hub A,37.701832,126.664052,11.16,0,95.3,simulated
gaip-002-202511-03,visit-gaip-002-202511-03,gaip-002,stable_reward,suburban_mid_density,development,good,2025-11,baseline,2025-11-10,Routine Hub A,37.701841,126.663832,11.05,0,99.1,simulated
gaip-002-202511-04,visit-gaip-002-202511-04,gaip-002,stable_reward,suburban_mid_density,development,good,2025-11,baseline,2025-11-13,Routine Hub A,37.701511,126.664485,12.86,0,96.4,simulated
gaip-002-202511-05,visit-gaip-002-202511-05,gaip-002,stable_reward,suburban_mid_density,development,good,2025-11,baseline,2025-11-16,Routine Hub A,37.701714,126.663895,13.64,0,96.8,simulated
gaip-002-202511-06,visit-gaip-002-202511-06,gaip-002,stable_reward,suburban_mid_density,development,good,2025-11,baseline,2025-11-19,Routine Hub B,37.713161,126.676687,22.05,0,96.8,simulated
gaip-002-202512-01,visit-gaip-002-202512-01,gaip-002,stable_reward,suburban_mid_density,development,good,2025-12,baseline,2025-12-04,Routine Hub A,37.702477,126.664174,12.29,0,99.6,simulated
gaip-002-202512-02,visit-gaip-002-202512-02,gaip-002,stable_reward,suburban_mid_density,development,good,2025-12,baseline,2025-12-07,Routine Hub B,37.712844,126.676432,21.78,0,97.3,simulated
gaip-002-202512-03,visit-gaip-002-202512-03,gaip-002,stable_reward,suburban_mid_density,development,good,2025-12,baseline,2025-12-10,Routine Hub A,37.701715,126.663785,14.28,0,98.6,simulated
gaip-002-202512-04,visit-gaip-002-202512-04,gaip-002,stable_reward,suburban_mid_density,development,good,2025-12,baseline,2025-12-13,Routine Hub A,37.702089,126.663565,13.48,0,98.0,simulated
gaip-002-202512-05,visit-gaip-002-202512-05,gaip-002,stable_reward,suburban_mid_density,development,good,2025-12,baseline,2025-12-16,Routine Hub A,37.702015,126.664024,10.79,0,98.3,simulated
gaip-002-202601-01,visit-gaip-002-202601-01,gaip-002,stable_reward,suburban_mid_density,development,good,2026-01,evaluation,2026-01-04,Routine Hub A,37.702211,126.663934,10.8,0,97.7,simulated
gaip-002-202601-02,visit-gaip-002-202601-02,gaip-002,stable_reward,suburban_mid_density,development,good,2026-01,evaluation,2026-01-07,Routine Hub A,37.702161,126.663662,13.04,0,97.1,simulated
gaip-002-202601-03,visit-gaip-002-202601-03,gaip-002,stable_reward,suburban_mid_density,development,good,2026-01,evaluation,2026-01-10,Routine Hub B,37.712834,126.675437,19.71,0,98.0,simulated
gaip-002-202601-04,visit-gaip-002-202601-04,gaip-002,stable_reward,suburban_mid_density,development,good,2026-01,evaluation,2026-01-13,Routine Hub A,37.702061,126.664099,10.81,1,98.7,simulated
gaip-002-202601-05,visit-gaip-002-202601-05,gaip-002,stable_reward,suburban_mid_density,development,good,2026-01,evaluation,2026-01-16,Routine Hub A,37.702113,126.664837,14.63,0,96.3,simulated
gaip-002-202602-01,visit-gaip-002-202602-01,gaip-002,stable_reward,suburban_mid_density,development,good,2026-02,evaluation,2026-02-04,Routine Hub A,37.702185,126.664509,12.49,0,97.5,simulated
gaip-002-202602-02,visit-gaip-002-202602-02,gaip-002,stable_reward,suburban_mid_density,development,good,2026-02,evaluation,2026-02-07,Routine Hub A,37.702222,126.665052,14.89,0,96.2,simulated
gaip-002-202602-03,visit-gaip-002-202602-03,gaip-002,stable_reward,suburban_mid_density,development,good,2026-02,evaluation,2026-02-10,Routine Hub A,37.701846,126.66505,11.81,0,98.7,simulated
gaip-002-202602-04,visit-gaip-002-202602-04,gaip-002,stable_reward,suburban_mid_density,development,good,2026-02,evaluation,2026-02-13,Routine Hub A,37.701789,126.663627,12.65,1,97.7,simulated
gaip-002-202602-05,visit-gaip-002-202602-05,gaip-002,stable_reward,suburban_mid_density,development,good,2026-02,evaluation,2026-02-16,Routine Hub A,37.701971,126.664671,11.77,0,97.9,simulated
gaip-002-202603-01,visit-gaip-002-202603-01,gaip-002,stable_reward,suburban_mid_density,development,good,2026-03,evaluation,2026-03-04,Routine Hub A,37.702372,126.663887,13.38,0,99.8,simulated
gaip-002-202603-02,visit-gaip-002-202603-02,gaip-002,stable_reward,suburban_mid_density,development,good,2026-03,evaluation,2026-03-07,Routine Hub B,37.712648,126.676194,24.14,0,99.2,simulated
gaip-002-202603-03,visit-gaip-002-202603-03,gaip-002,stable_reward,suburban_mid_density,development,good,2026-03,evaluation,2026-03-10,Routine Hub B,37.71332,126.676731,18.17,0,97.6,simulated
gaip-002-202603-04,visit-gaip-002-202603-04,gaip-002,stable_reward,suburban_mid_density,development,good,2026-03,evaluation,2026-03-13,Routine Hub A,37.702146,126.664404,12.55,0,95.4,simulated
gaip-002-202603-05,visit-gaip-002-202603-05,gaip-002,stable_reward,suburban_mid_density,development,good,2026-03,evaluation,2026-03-16,Routine Hub A,37.702165,126.663771,11.89,0,96.6,simulated
gaip-002-202604-01,visit-gaip-002-202604-01,gaip-002,stable_reward,suburban_mid_density,development,good,2026-04,evaluation,2026-04-04,Routine Hub A,37.701602,126.664887,14.72,0,99.8,simulated
gaip-002-202604-02,visit-gaip-002-202604-02,gaip-002,stable_reward,suburban_mid_density,development,good,2026-04,evaluation,2026-04-07,Routine Hub B,37.713367,126.676324,21.38,1,98.0,simulated
gaip-002-202604-03,visit-gaip-002-202604-03,gaip-002,stable_reward,suburban_mid_density,development,good,2026-04,evaluation,2026-04-10,Routine Hub B,37.712714,126.676176,21.57,1,95.9,simulated
gaip-002-202604-04,visit-gaip-002-202604-04,gaip-002,stable_reward,suburban_mid_density,development,good,2026-04,evaluation,2026-04-13,Routine Hub A,37.701863,126.664676,12.65,0,99.8,simulated
gaip-002-202604-05,visit-gaip-002-202604-05,gaip-002,stable_reward,suburban_mid_density,development,good,2026-04,evaluation,2026-04-16,Routine Hub B,37.7128,126.676381,19.52,0,97.2,simulated
gaip-002-202605-01,visit-gaip-002-202605-01,gaip-002,stable_reward,suburban_mid_density,development,good,2026-05,evaluation,2026-05-04,Routine Hub A,37.701706,126.664033,13.3,0,95.1,simulated
gaip-002-202605-02,visit-gaip-002-202605-02,gaip-002,stable_reward,suburban_mid_density,development,good,2026-05,evaluation,2026-05-07,Routine Hub A,37.702345,126.664474,14.91,0,98.0,simulated
gaip-002-202605-03,visit-gaip-002-202605-03,gaip-002,stable_reward,suburban_mid_density,development,good,2026-05,evaluation,2026-05-10,Routine Hub A,37.702127,126.664378,12.48,0,98.2,simulated
gaip-002-202605-04,visit-gaip-002-202605-04,gaip-002,stable_reward,suburban_mid_density,development,good,2026-05,evaluation,2026-05-13,Routine Hub A,37.702056,126.664514,14.89,0,96.1,simulated
gaip-002-202605-05,visit-gaip-002-202605-05,gaip-002,stable_reward,suburban_mid_density,development,good,2026-05,evaluation,2026-05-16,Routine Hub B,37.713253,126.676466,22.64,0,98.1,simulated
gaip-002-202606-01,visit-gaip-002-202606-01,gaip-002,stable_reward,suburban_mid_density,development,good,2026-06,evaluation,2026-06-04,Routine Hub B,37.713446,126.676458,24.57,0,99.2,simulated
gaip-002-202606-02,visit-gaip-002-202606-02,gaip-002,stable_reward,suburban_mid_density,development,good,2026-06,evaluation,2026-06-07,Routine Hub B,37.713009,126.675496,20.38,0,96.0,simulated
gaip-002-202606-03,visit-gaip-002-202606-03,gaip-002,stable_reward,suburban_mid_density,development,good,2026-06,evaluation,2026-06-10,Routine Hub B,37.712583,126.676241,22.81,0,99.3,simulated
gaip-002-202606-04,visit-gaip-002-202606-04,gaip-002,stable_reward,suburban_mid_density,development,good,2026-06,evaluation,2026-06-13,Routine Hub A,37.702619,126.66441,13.44,0,96.3,simulated
gaip-002-202606-05,visit-gaip-002-202606-05,gaip-002,stable_reward,suburban_mid_density,development,good,2026-06,evaluation,2026-06-16,Routine Hub A,37.702084,126.664462,12.15,1,97.7,simulated
gaip-002-202607-01,visit-gaip-002-202607-01,gaip-002,stable_reward,suburban_mid_density,development,good,2026-07,evaluation,2026-07-04,Routine Hub A,37.702164,126.663857,14.29,0,97.0,simulated
gaip-002-202607-02,visit-gaip-002-202607-02,gaip-002,stable_reward,suburban_mid_density,development,good,2026-07,evaluation,2026-07-07,Routine Hub B,37.71275,126.675747,22.15,0,97.6,simulated
gaip-002-202607-03,visit-gaip-002-202607-03,gaip-002,stable_reward,suburban_mid_density,development,good,2026-07,evaluation,2026-07-10,Routine Hub A,37.701875,126.664439,14.25,0,99.3,simulated
gaip-002-202607-04,visit-gaip-002-202607-04,gaip-002,stable_reward,suburban_mid_density,development,good,2026-07,evaluation,2026-07-13,Routine Hub A,37.702197,126.664869,14.47,0,97.1,simulated
gaip-002-202607-05,visit-gaip-002-202607-05,gaip-002,stable_reward,suburban_mid_density,development,good,2026-07,evaluation,2026-07-16,Routine Hub A,37.702359,126.664467,13.72,0,95.2,simulated
gaip-002-202608-01,visit-gaip-002-202608-01,gaip-002,stable_reward,suburban_mid_density,development,good,2026-08,evaluation,2026-08-04,Routine Hub A,37.702309,126.664006,14.45,0,95.4,simulated
gaip-002-202608-02,visit-gaip-002-202608-02,gaip-002,stable_reward,suburban_mid_density,development,good,2026-08,evaluation,2026-08-07,Routine Hub A,37.702152,126.66436,12.86,0,96.3,simulated
gaip-002-202608-03,visit-gaip-002-202608-03,gaip-002,stable_reward,suburban_mid_density,development,good,2026-08,evaluation,2026-08-10,Routine Hub B,37.712858,126.67683,24.22,0,97.8,simulated
gaip-002-202608-04,visit-gaip-002-202608-04,gaip-002,stable_reward,suburban_mid_density,development,good,2026-08,evaluation,2026-08-13,Routine Hub B,37.713176,126.675975,22.44,0,97.8,simulated
gaip-002-202608-05,visit-gaip-002-202608-05,gaip-002,stable_reward,suburban_mid_density,development,good,2026-08,evaluation,2026-08-16,Routine Hub A,37.7016,126.664904,10.96,0,99.2,simulated
gaip-002-202608-06,visit-gaip-002-202608-06,gaip-002,stable_reward,suburban_mid_density,development,good,2026-08,evaluation,2026-08-19,Routine Hub A,37.701602,126.664519,12.15,0,96.4,simulated
gaip-002-202609-01,visit-gaip-002-202609-01,gaip-002,stable_reward,suburban_mid_density,development,good,2026-09,evaluation,2026-09-04,Routine Hub B,37.712787,126.675992,18.75,0,97.7,simulated
gaip-002-202609-02,visit-gaip-002-202609-02,gaip-002,stable_reward,suburban_mid_density,development,good,2026-09,evaluation,2026-09-07,Routine Hub A,37.701767,126.664411,14.23,0,99.4,simulated
gaip-002-202609-03,visit-gaip-002-202609-03,gaip-002,stable_reward,suburban_mid_density,development,good,2026-09,evaluation,2026-09-10,Routine Hub A,37.702069,126.664552,12.8,0,96.3,simulated
gaip-002-202609-04,visit-gaip-002-202609-04,gaip-002,stable_reward,suburban_mid_density,development,good,2026-09,evaluation,2026-09-13,Routine Hub A,37.702395,126.664751,13.58,0,99.0,simulated
gaip-002-202609-05,visit-gaip-002-202609-05,gaip-002,stable_reward,suburban_mid_density,development,good,2026-09,evaluation,2026-09-16,Routine Hub A,37.701501,126.66425,14.28,0,98.0,simulated
gaip-002-202610-01,visit-gaip-002-202610-01,gaip-002,stable_reward,suburban_mid_density,development,good,2026-10,evaluation,2026-10-04,Routine Hub B,37.712383,126.676091,19.67,0,99.8,simulated
gaip-002-202610-02,visit-gaip-002-202610-02,gaip-002,stable_reward,suburban_mid_density,development,good,2026-10,evaluation,2026-10-07,Routine Hub A,37.702003,126.664004,11.73,0,98.0,simulated
gaip-002-202610-03,visit-gaip-002-202610-03,gaip-002,stable_reward,suburban_mid_density,development,good,2026-10,evaluation,2026-10-10,Routine Hub B,37.713195,126.675585,24.22,0,98.3,simulated
gaip-002-202610-04,visit-gaip-002-202610-04,gaip-002,stable_reward,suburban_mid_density,development,good,2026-10,evaluation,2026-10-13,Routine Hub A,37.70177,126.664837,13.68,0,99.4,simulated
gaip-002-202610-05,visit-gaip-002-202610-05,gaip-002,stable_reward,suburban_mid_density,development,good,2026-10,evaluation,2026-10-16,Routine Hub B,37.712835,126.675627,24.59,0,99.5,simulated
gaip-002-202610-06,visit-gaip-002-202610-06,gaip-002,stable_reward,suburban_mid_density,development,good,2026-10,evaluation,2026-10-19,Routine Hub A,37.701602,126.664588,13.75,0,98.2,simulated
gaip-002-202611-01,visit-gaip-002-202611-01,gaip-002,stable_reward,suburban_mid_density,development,good,2026-11,evaluation,2026-11-04,Routine Hub A,37.701538,126.664558,11.82,0,96.7,simulated
gaip-002-202611-02,visit-gaip-002-202611-02,gaip-002,stable_reward,suburban_mid_density,development,good,2026-11,evaluation,2026-11-07,Routine Hub B,37.71295,126.676393,22.8,0,96.8,simulated
gaip-002-202611-03,visit-gaip-002-202611-03,gaip-002,stable_reward,suburban_mid_density,development,good,2026-11,evaluation,2026-11-10,Routine Hub A,37.701863,126.663931,11.43,0,98.3,simulated
gaip-002-202611-04,visit-gaip-002-202611-04,gaip-002,stable_reward,suburban_mid_density,development,good,2026-11,evaluation,2026-11-13,Routine Hub B,37.712953,126.676661,23.32,0,99.4,simulated
gaip-002-202611-05,visit-gaip-002-202611-05,gaip-002,stable_reward,suburban_mid_density,development,good,2026-11,evaluation,2026-11-16,Routine Hub A,37.702419,126.664786,12.82,1,98.0,simulated
gaip-002-202612-01,visit-gaip-002-202612-01,gaip-002,stable_reward,suburban_mid_density,development,good,2026-12,evaluation,2026-12-04,Routine Hub A,37.702265,126.663937,12.61,0,96.0,simulated
